A형간염,성홍열,수두,카바페넴내성장내세균속균종(CRE) 감염증,유행성이하선염,쯔쯔가무시증,C형간염,top5
957,1244,21403,1074,5830,706,725,"['수두', '유행성이하선염', '성홍열', '카바페넴내성장내세균속균종(CRE) 감염증', 'A형간염']"
13045,22555,153167,6778,37885,7058,6677,"['수두', '유행성이하선염', '성홍열', 'A형간염', '쯔쯔가무시증']"
843,5940,43910,3603,15354,13351,3292,"['수두', '유행성이하선염', '쯔쯔가무시증', '성홍열', '카바페넴내성장내세균속균종(CRE) 감염증']"
799,4226,25766,1164,6837,4901,1658,"['수두', '유행성이하선염', '쯔쯔가무시증', '성홍열', 'C형간염']"
829,3917,18177,598,9618,2760,857,"['수두', '유행성이하선염', '성홍열', '쯔쯔가무시증', 'C형간염']"
638,2950,32086,2356,5670,2026,1379,"['수두', '유행성이하선염', '성홍열', '카바페넴내성장내세균속균종(CRE) 감염증', '쯔쯔가무시증']"
3672,2729,14195,586,5696,2982,654,"['수두', '유행성이하선염', 'A형간염', '쯔쯔가무시증', '성홍열']"
1451,5578,34735,5298,10990,5952,4099,"['수두', '유행성이하선염', '쯔쯔가무시증', '성홍열', '카바페넴내성장내세균속균종(CRE) 감염증']"
7904,9935,62628,12967,17280,2576,5234,"['수두', '유행성이하선염', '카바페넴내성장내세균속균종(CRE) 감염증', '성홍열', 'A형간염']"
499,370,3906,3,560,445,92,"['수두', '유행성이하선염', 'A형간염', '쯔쯔가무시증', '성홍열']"
318,3166,16149,703,5351,3858,600,"['수두', '유행성이하선염', '쯔쯔가무시증', '성홍열', '카바페넴내성장내세균속균종(CRE) 감염증']"
3680,3689,33184,3699,8647,867,2661,"['수두', '유행성이하선염', '카바페넴내성장내세균속균종(CRE) 감염증', '성홍열', 'A형간염']"
787,2921,21838,799,6865,11316,2706,"['수두', '쯔쯔가무시증', '유행성이하선염', '성홍열', 'C형간염']"
1733,2877,22050,1500,11454,9446,1053,"['수두', '유행성이하선염', '쯔쯔가무시증', '성홍열', 'A형간염']"
201,933,13461,363,3491,815,483,"['수두', '유행성이하선염', '성홍열', '쯔쯔가무시증', 'C형간염']"
2759,3486,21129,740,6155,8541,1227,"['수두', '쯔쯔가무시증', '유행성이하선염', '성홍열', 'A형간염']"
1872,1462,14551,319,3611,2517,710,"['수두', '유행성이하선염', '쯔쯔가무시증', 'A형간염', '성홍열']"
